k,inertia,silhouette
2,627.6494925368146,0.34466530864210954
3,521.8104864190932,0.19582671138096702
4,421.74295142333926,0.22109837063737178
5,379.6594007247984,0.18220185565415378
6,320.05428089224415,0.2186678635748475
7,299.88737156668515,0.19871768182007088
8,284.52858855446175,0.17053166559288385
