model,feature_set,train_rows,test_rows,threshold,accuracy,balanced_accuracy,precision,recall,f1,positive_rate_predicted,roc_auc,pr_auc
xgboost_optional,full,402367,85543,0.3671541213989258,0.8016553078568673,0.8057839249999237,0.7416229500448982,0.8387631290589839,0.7872076252586694,0.49469857264767425,0.8933926020453982,0.8603977120509809
random_forest,full,402367,85543,0.4921576270470047,0.7979495692224963,0.8009948086947036,0.7418146003987605,0.8253200416922789,0.7813425094248918,0.48664414388085525,0.8870038641239417,0.8528688609386956
logistic_l2_balanced,full,402367,85543,0.46050184980776243,0.7971780274248039,0.7996846704230555,0.7430890369473047,0.8197076195312292,0.7795201545265084,0.48250587423868696,0.8847729334509172,0.8463240214626299
extra_trees,full,402367,85543,0.5069524076789276,0.7904562617630899,0.7925778592142076,0.7371982087227414,0.8095250821818959,0.7716705942296669,0.4803198391452252,0.8789987799851512,0.8411655416514114
dummy_most_frequent,full,402367,85543,0.0,0.43740574915539554,0.5,0.43740574915539554,1.0,0.6086044242029929,1.0,0.5,0.43740574915539554
