feature_set,model,n_features_raw,train_rows,test_rows,threshold,accuracy,balanced_accuracy,precision,recall,f1,positive_rate_predicted,roc_auc,pr_auc
crash_only,logistic_l2_balanced,21,402367,85543,0.3512194531015087,0.5786329682148159,0.6111789572789953,0.5107489815104983,0.8711548226741855,0.6439542854885072,0.7460575383140643,0.7062777880067744,0.6562295886650311
crash_vehicle,logistic_l2_balanced,54,402367,85543,0.4289557214764583,0.7591386787931216,0.7676051931483261,0.6839859053205226,0.8352353208434669,0.7520816287240699,0.5341290345206504,0.8497139157203233,0.7948342395036962
crash_person,logistic_l2_balanced,43,402367,85543,0.39934893462043,0.7726991103889272,0.7804151372026876,0.6995182167358629,0.8420504048961702,0.7641951053869849,0.5265305168161042,0.8692913495327387,0.8297876185910145
full,logistic_l2_balanced,76,402367,85543,0.4309408682674958,0.7927124370199783,0.7980263431884413,0.727777649209692,0.8404735815271134,0.7800764002579749,0.505137766970997,0.8847729334509172,0.8463240214626299
