feature,coefficient,abs_coefficient
cat__vehicle_type_code_3_unk,-0.5505960468759947,0.5505960468759947
cat__vehicle_type_code_1_taxi,0.549755911688614,0.549755911688614
cat__vehicle_type_code_5_pick-up truck,-0.5482536148392242,0.5482536148392242
cat__vehicle_type_code_3_school bus,0.544823017763948,0.544823017763948
cat__zip_code_10153,0.5398108036581986,0.5398108036581986
cat__vehicle_type_code_3_dump,-0.5340596268752241,0.5340596268752241
cat__contributing_factor_vehicle_1_fatigued/drowsy,0.5284302257585732,0.5284302257585732
cat__vehicle_type_code_1_limo,0.52815583605226,0.52815583605226
cat__borough_manhattan,-0.5239458798855925,0.5239458798855925
num__person_child_count,-0.5232973009867017,0.5232973009867017
cat__zip_code_11363,-0.520647495034657,0.520647495034657
cat__contributing_factor_vehicle_5_oversized vehicle,0.5157320377138329,0.5157320377138329
cat__contributing_factor_vehicle_4_oversized vehicle,0.5157320377138329,0.5157320377138329
cat__vehicle_type_code_3_bus,0.5006252495850052,0.5006252495850052
cat__vehicle_type_code_1_unknown,0.49765233107993884,0.49765233107993884
cat__vehicle_type_code_3_carry all,-0.4917253408370419,0.4917253408370419
cat__zip_code_10271,-0.49169902791650666,0.49169902791650666
cat__contributing_factor_vehicle_3_glare,-0.48849474982676494,0.48849474982676494
cat__contributing_factor_vehicle_4_outside car distraction,-0.4860633064028983,0.4860633064028983
cat__vehicle_type_code_3_concrete mixer,0.4860424414072447,0.4860424414072447
cat__contributing_factor_vehicle_3_passing too closely,0.4841553452419855,0.4841553452419855
cat__vehicle_type_code_4_taxi,0.48369616693582984,0.48369616693582984
cat__contributing_factor_vehicle_5_unsafe speed,0.48323193601657477,0.48323193601657477
cat__vehicle_type_code_3_moped,-0.4742514995372266,0.4742514995372266
cat__vehicle_type_code_5_van,-0.47372775505073916,0.47372775505073916
cat__contributing_factor_vehicle_1_passing or lane usage improper,-0.46546330982184037,0.46546330982184037
cat__zip_code_10165,-0.4640598513269034,0.4640598513269034
cat__vehicle_type_code_1_pk,-0.4632571284716822,0.4632571284716822
cat__contributing_factor_vehicle_3_turning improperly,-0.4617822141115667,0.4617822141115667
cat__vehicle_type_code_4_bike,-0.45951984632320797,0.45951984632320797
cat__zip_code_10065,-0.4546050114722866,0.4546050114722866
cat__zip_code_10172,-0.45138442699404613,0.45138442699404613
cat__vehicle_type_code_4_pick up tr,0.4474836481667527,0.4474836481667527
num__ped_role_driver_count,0.4454703844277517,0.4454703844277517
cat__vehicle_type_code_4_subn,-0.4445828455262225,0.4445828455262225
cat__vehicle_type_code_3_van,0.4411886696206758,0.4411886696206758
cat__zip_code_10037,0.43874828104693064,0.43874828104693064
cat__contributing_factor_vehicle_4_tire failure/inadequate,-0.4379648653971229,0.4379648653971229
cat__contributing_factor_vehicle_3_traffic control device improper/non-working,0.43788368178490256,0.43788368178490256
cat__contributing_factor_vehicle_2_unsafe speed,0.4377507460526678,0.4377507460526678
cat__zip_code_10028,-0.43729917880803665,0.43729917880803665
cat__contributing_factor_vehicle_2_lane marking improper/inadequate,-0.435629588840979,0.435629588840979
cat__contributing_factor_vehicle_3_fatigued/drowsy,-0.4325000677922621,0.4325000677922621
cat__vehicle_type_code_3_tow truck / wrecker,0.4323101842936048,0.4323101842936048
cat__vehicle_type_code_4_other,-0.4312565392301766,0.4312565392301766
cat__zip_code_10039,0.42809951201043567,0.42809951201043567
num__person_bicyclist_count,0.427983646475179,0.427983646475179
cat__contributing_factor_vehicle_3_driverless/runaway vehicle,-0.42734886056807647,0.42734886056807647
cat__contributing_factor_vehicle_5_obstruction/debris,0.42729222463126615,0.42729222463126615
cat__vehicle_type_code_2_fire truck,0.4264243786501903,0.4264243786501903
cat__zip_code_11361,-0.4255902625489211,0.4255902625489211
cat__contributing_factor_vehicle_3_brakes defective,-0.41740126551526985,0.41740126551526985
cat__vehicle_type_code_3_tanker,0.4172380141402118,0.4172380141402118
cat__zip_code_10021,-0.41613454234946995,0.41613454234946995
cat__contributing_factor_vehicle_3_oversized vehicle,0.4152756169819635,0.4152756169819635
cat__vehicle_type_code_5_trailor,-0.41271409994952984,0.41271409994952984
cat__zip_code_10120,-0.41036229746561076,0.41036229746561076
cat__contributing_factor_vehicle_5_alcohol involvement,-0.4067481537974831,0.4067481537974831
cat__vehicle_type_code_2_taxi,0.40657197754671365,0.40657197754671365
cat__contributing_factor_vehicle_5_unknown,0.40441302263064377,0.40441302263064377
cat__zip_code_10004,-0.39825824851686237,0.39825824851686237
cat__zip_code_10279,-0.39050388737978964,0.39050388737978964
cat__zip_code_11005,0.38916856263317856,0.38916856263317856
cat__contributing_factor_vehicle_3_reaction to uninvolved vehicle,-0.38608899396301966,0.38608899396301966
num__has_motorcycle_vehicle,0.3823873882546921,0.3823873882546921
num__person_occupant_share,-0.3804974673740317,0.3804974673740317
num__vehicle_occupants_sum,-0.3794163313158654,0.3794163313158654
cat__zip_code_10009,0.37897819869414767,0.37897819869414767
cat__contributing_factor_vehicle_2_oversized vehicle,-0.3786117857201262,0.3786117857201262
cat__contributing_factor_vehicle_3_outside car distraction,-0.3777502750152924,0.3777502750152924
cat__vehicle_type_code_5_tractor truck gasoline,0.3773362635037921,0.3773362635037921
cat__contributing_factor_vehicle_4_unknown,0.3748978781672535,0.3748978781672535
cat__vehicle_type_code_4_econoline,0.37428121220555194,0.37428121220555194
cat__contributing_factor_vehicle_1_fell asleep,0.37370188223255996,0.37370188223255996
cat__vehicle_type_code_3_garbage or refuse,0.3724811202746443,0.3724811202746443
cat__vehicle_type_code_4_pk,0.3690116089929911,0.3690116089929911
cat__contributing_factor_vehicle_1_unsafe lane changing,-0.36550423773238716,0.36550423773238716
cat__zip_code_10017,0.3644556986543013,0.3644556986543013
cat__zip_code_11422,0.3637999662690458,0.3637999662690458
cat__vehicle_type_code_1_tow truck / wrecker,-0.35897995436393776,0.35897995436393776
cat__contributing_factor_vehicle_3_other vehicular,0.3585388178107793,0.3585388178107793
cat__vehicle_type_code_1_chassis cab,-0.35670187201264203,0.35670187201264203
cat__zip_code_10174,0.354224657143279,0.354224657143279
cat__zip_code_11416,0.350298962099814,0.350298962099814
cat__zip_code_10040,0.350164090730278,0.350164090730278
cat__vehicle_type_code_4_tractor truck diesel,0.3498869012911627,0.3498869012911627
cat__zip_code_11413,0.3465114508691131,0.3465114508691131
cat__vehicle_type_code_5_unk,-0.34593190708564653,0.34593190708564653
num__vehicle_occupants_mean,0.3428739885633318,0.3428739885633318
cat__contributing_factor_vehicle_5_driver inexperience,-0.33970446097914764,0.33970446097914764
cat__vehicle_type_code_4_station wagon/sport utility vehicle,0.3340442054435601,0.3340442054435601
cat__vehicle_type_code_1_e-bike,-0.33322864183716905,0.33322864183716905
cat__zip_code_11411,0.3330446597224439,0.3330446597224439
cat__zip_code_10121,-0.3310459780564521,0.3310459780564521
cat__vehicle_type_code_3_chassis cab,0.33049238084603566,0.33049238084603566
cat__vehicle_type_code_1_tanker,-0.3272354042059294,0.3272354042059294
cat__zip_code_10128,-0.3252718405994939,0.3252718405994939
cat__zip_code_10302,0.3245867013100274,0.3245867013100274
cat__contributing_factor_vehicle_1_glare,-0.3241003619968626,0.3241003619968626
cat__zip_code_10034,0.3233736993739325,0.3233736993739325
cat__zip_code_10045,0.322810259979495,0.322810259979495
cat__contributing_factor_vehicle_4_fell asleep,0.3227395801816348,0.3227395801816348
cat__contributing_factor_vehicle_3_drugs (illegal),0.3211465614950353,0.3211465614950353
cat__vehicle_type_code_1_4 dr sedan,-0.3210400240439906,0.3210400240439906
cat__contributing_factor_vehicle_1_pavement defective,-0.31819095191832747,0.31819095191832747
cat__contributing_factor_vehicle_3_backing unsafely,0.3156233389739151,0.3156233389739151
cat__contributing_factor_vehicle_3_unspecified,0.314072408390716,0.314072408390716
cat__zip_code_10032,0.31394904439478083,0.31394904439478083
cat__vehicle_type_code_4_beverage truck,-0.31185342761800205,0.31185342761800205
cat__zip_code_group_11373,-0.3112206788859124,0.3112206788859124
cat__zip_code_11373,-0.3112206788859124,0.3112206788859124
cat__zip_code_10281,0.31030963427804586,0.31030963427804586
cat__contributing_factor_vehicle_1_traffic control disregarded,0.3099569348327882,0.3099569348327882
cat__contributing_factor_vehicle_1_unsafe speed,0.3095032739922387,0.3095032739922387
cat__contributing_factor_vehicle_4_backing unsafely,0.3068107081344756,0.3068107081344756
cat__vehicle_type_code_1_box truck,-0.3057723334863883,0.3057723334863883
cat__vehicle_type_code_3_subn,-0.3049888689804395,0.3049888689804395
cat__zip_code_10026,0.3049380263894322,0.3049380263894322
cat__vehicle_type_code_5_lunch wagon,-0.304276849005354,0.304276849005354
cat__zip_code_10041,-0.30381191894255366,0.30381191894255366
cat__contributing_factor_vehicle_4_aggressive driving/road rage,-0.30367119077393034,0.30367119077393034
cat__vehicle_type_code_1_fire truck,0.3011339950295103,0.3011339950295103
cat__vehicle_type_code_4_convertible,0.30107899287865897,0.30107899287865897
cat__contributing_factor_vehicle_1_unknown,0.3004571128686153,0.3004571128686153
cat__zip_code_10155,-0.30018566612961006,0.30018566612961006
cat__zip_code_10055,-0.2997185540387085,0.2997185540387085
cat__vehicle_type_code_1_dump,-0.2987852587254628,0.2987852587254628
cat__contributing_factor_vehicle_3_following too closely,-0.2987313494812642,0.2987313494812642
cat__zip_code_10075,-0.296959775014311,0.296959775014311
cat__contributing_factor_vehicle_1_view obstructed/limited,-0.2964925178487536,0.2964925178487536
cat__vehicle_type_code_5_garbage or refuse,-0.2926529409653396,0.2926529409653396
cat__zip_code_11374,-0.2922344716062337,0.2922344716062337
cat__zip_code_10023,0.2915356242533305,0.2915356242533305
