zip_code_group,collision_count,injury_rate,mean_is_weekend,mean_is_rush_hour,mean_is_late_night,mean_vehicle_records_count,mean_person_records_count,mean_person_pedestrian_count,mean_person_bicyclist_count,mean_has_truck_vehicle,mean_has_bus_vehicle,mean_has_taxi_vehicle,mean_has_bike_vehicle,mean_has_motorcycle_vehicle,cluster,pca1,pca2
10001,2667,0.37045369328833894,0.26396700412448443,0.2909636295463067,0.14698162729658792,1.8755155605549307,3.2133483314585676,0.16722909636295463,0.15148106486689164,0.14548181477315336,0.04611923509561305,0.1372328458942632,0.1649793775778028,0.05999250093738283,1,4.9936423386703135,1.2669809405266526
10002,3667,0.4185983092446141,0.31415325879465505,0.2757022088901009,0.18461958003817835,1.897463866921189,3.233706026724843,0.14480501772566132,0.15734933187892008,0.10171802563403327,0.037905644941368964,0.0919007362967003,0.17507499318243797,0.05535860376329425,1,3.483665590422409,3.1589790458726656
10013,2540,0.2937007874015748,0.265748031496063,0.3236220472440945,0.11811023622047244,1.9421259842519685,3.309842519685039,0.10196850393700788,0.08976377952755905,0.17559055118110237,0.03188976377952756,0.0625984251968504,0.1,0.02952755905511811,0,0.8599436503392401,-0.2958180525878712
10016,2675,0.4882242990654206,0.2575700934579439,0.2867289719626168,0.1349532710280374,1.8669158878504672,3.4093457943925234,0.1674766355140187,0.18317757009345795,0.10392523364485981,0.04411214953271028,0.17009345794392525,0.19700934579439253,0.05046728971962617,1,5.6640520179472915,0.7830834208078762
10019,2872,0.4174791086350975,0.26636490250696376,0.2966573816155989,0.13823119777158774,1.866991643454039,3.0647632311977717,0.16051532033426183,0.16190807799442897,0.13509749303621169,0.04944289693593315,0.12047353760445682,0.17931754874651812,0.057103064066852366,1,5.081940181954892,0.9577396338134216
10027,2809,0.3894624421502314,0.27661089355642576,0.3097187611249555,0.13314346742613029,1.9661801352794588,3.339622641509434,0.11000355998576006,0.1512993948024208,0.08045567817728728,0.0619437522249911,0.08223567105731577,0.17016731933072268,0.05233179067283731,1,2.663698959264546,0.1924189415700289
10029,3703,0.3818525519848771,0.24601674318120442,0.3343235214690791,0.11909262759924386,1.9705644072373751,3.443964353227113,0.12152308938698353,0.12638401296246288,0.09829867674858223,0.06481231433972455,0.07345395625168782,0.1431271941668917,0.059411288144747505,0,2.2525739894056587,-1.4830332854147943
10035,2741,0.38051805910251735,0.2579350601970084,0.3527909522072236,0.12294782925939438,1.964611455673112,3.456037942356804,0.11200291864283109,0.07734403502371397,0.10689529368843488,0.0623859905144108,0.06457497263772345,0.09449106165632981,0.045238963881794964,0,0.6224653924731777,-1.9146239949341286
10036,2645,0.38714555765595465,0.30850661625708886,0.28468809073724005,0.15311909262759923,1.8593572778827978,3.1890359168241966,0.16294896030245748,0.14291115311909264,0.1391304347826087,0.07901701323251417,0.1274102079395085,0.15198487712665407,0.05860113421550094,1,5.10060089628397,1.5516826662844165
10451,3024,0.4246031746031746,0.25462962962962965,0.34523809523809523,0.11375661375661375,1.9543650793650793,3.575727513227513,0.1302910052910053,0.07473544973544974,0.08895502645502645,0.050595238095238096,0.05787037037037037,0.09556878306878307,0.05886243386243386,0,0.6259239435820882,-1.9064166510435325
10455,2575,0.44427184466019415,0.27067961165048543,0.3297087378640777,0.1266019417475728,1.937864077669903,3.497864077669903,0.11572815533980582,0.08,0.11029126213592233,0.05009708737864078,0.040776699029126215,0.10252427184466019,0.06485436893203883,0,0.7948367903594492,-0.9218987431115724
10456,2814,0.39836531627576405,0.275408670931059,0.3244491826581379,0.13041933191186922,1.9868514570007108,3.321961620469083,0.15529495380241648,0.0628997867803838,0.06680881307746979,0.053304904051172705,0.057569296375266525,0.08528784648187633,0.07427149964463398,0,0.7035913673848994,-0.32586630069725914
10457,3595,0.39666203059805283,0.2650904033379694,0.3140472878998609,0.15660639777468707,1.995549374130737,3.4052851182197497,0.11655076495132127,0.05757997218358832,0.07399165507649513,0.05201668984700974,0.045618915159944366,0.0803894297635605,0.0756606397774687,0,0.029600574280028397,0.2646735177152515
10458,3318,0.3936106088004822,0.2667269439421338,0.3303194695599759,0.14285714285714285,1.978902953586498,3.3164556962025316,0.13863773357444242,0.037371910789632305,0.06962025316455696,0.052742616033755275,0.044002411091018684,0.058167570825798674,0.06660638939119952,0,-0.2792467829498628,-0.5023357596282214
10459,3120,0.39807692307692305,0.2644230769230769,0.3262820512820513,0.1362179487179487,1.9820512820512821,3.5153846153846153,0.11794871794871795,0.058653846153846154,0.10993589743589743,0.046794871794871795,0.041346153846153845,0.07756410256410257,0.058333333333333334,0,-0.1274578474750434,-0.6824606428836723
10460,3118,0.40153944836433614,0.2584990378447723,0.33098139833226425,0.14304041051956382,1.9791533033996151,3.250481077613855,0.1209108402822322,0.05323925593329057,0.08017960230917255,0.04971135343168698,0.04361770365618987,0.06959589480436178,0.06991661321359846,0,-0.024365124627225385,-0.43614510291495684
10462,2690,0.37992565055762084,0.25464684014869887,0.3315985130111524,0.12936802973977696,1.987360594795539,3.300371747211896,0.13122676579925652,0.04498141263940521,0.09330855018587361,0.03940520446096654,0.026022304832713755,0.05799256505576208,0.05985130111524164,0,-0.6278126493310476,-0.7905996108964681
10466,3056,0.3867801047120419,0.28664921465968585,0.3331151832460733,0.1429973821989529,2.0909685863874348,3.232329842931937,0.10863874345549739,0.025850785340314136,0.08082460732984294,0.024869109947643978,0.02356020942408377,0.03468586387434555,0.03664921465968586,0,-2.8987085374371278,0.2277257427117534
10467,3622,0.3785201546107123,0.2700165654334622,0.3431805632247377,0.1247929320817228,1.996134732192159,3.2346769740474874,0.12700165654334622,0.03810049696300387,0.06985091109884042,0.04555494202098288,0.0353395913859746,0.054665930425179456,0.05991165102153506,0,-0.8744003744920473,-0.9152380150499598
10468,2913,0.4112598695502918,0.30072090628218334,0.3158256093374528,0.16512186749055957,1.9715070374184689,3.231719876416066,0.13456917267421903,0.05115001716443529,0.07277720562993477,0.04737384140061792,0.046343975283213185,0.0690010298661174,0.07621009268795056,0,0.026109833664946295,1.1520440473453666
10469,2821,0.45728465083303793,0.3030840127614321,0.32470755051400213,0.13434952144629564,2.075150655795817,3.444877702942219,0.09819213045019497,0.02623183268344559,0.06699751861042183,0.020914569301666075,0.029067706487061327,0.037575327897908545,0.051045728465083304,0,-2.9170330118172845,0.4058916728345293
10472,2603,0.3691893968497887,0.2808298117556665,0.30388013830195926,0.15097963887821744,2.013061851709566,3.2481751824817517,0.11256242796772954,0.04648482520169036,0.10449481367652709,0.032270457164809835,0.02727621974644641,0.0676142912024587,0.059162504802151364,0,-0.8639647105925476,1.0941362220808095
11101,4353,0.4181024580748909,0.22742935906271536,0.3275901677004365,0.13439007580978635,1.983689409602573,3.134619802435102,0.07856650585802895,0.09303928325292901,0.13439007580978635,0.02067539627842867,0.044796691936595454,0.11302549965541006,0.10314725476682747,0,0.9779671591010564,0.08823098898655156
11201,4102,0.30716723549488056,0.2189176011701609,0.31131155533885907,0.08898098488542175,1.9485616772306191,3.326913700633837,0.10043881033642126,0.08995611896635787,0.16406630911750367,0.04826913700633837,0.04339346660165773,0.10336421257922965,0.039492930277913216,0,1.3486669418042332,-1.6439180985064683
11203,5176,0.4418469860896445,0.29095826893353943,0.32360896445131376,0.15262751159196292,2.11031684698609,3.4493817619783615,0.09505409582689335,0.04810664605873261,0.0722565687789799,0.035741885625965995,0.017001545595054096,0.061823802163833076,0.037287480680061824,0,-2.694480439895965,0.24841416153984905
11204,2551,0.4460995687965504,0.2391219129753038,0.3371226969815759,0.10897687181497452,1.990983927871423,3.2344178753430026,0.15013720109760878,0.10192081536652293,0.08192865542924344,0.04429635437083497,0.01803214425715406,0.12073696589572716,0.06624852998823991,0,0.9840882630280283,-1.6172278826339732
11206,4202,0.39576392194193244,0.24178962398857687,0.323417420276059,0.14231318419800096,1.9835792479771537,3.129700142789148,0.11827701094716801,0.09852451213707758,0.11875297477391718,0.044264635887672536,0.02641599238457877,0.12375059495478344,0.0752022846263684,0,1.2512721670323153,-0.1927874047749504
