crash_year,collisions,injury_or_fatality_rate
2021,110558,0.3510374644982724
2022,103887,0.3786421785208929
2023,96607,0.4189344457440972
2024,91315,0.44055193560751243
2025,85543,0.43740574915539554
2026,25125,0.4021890547263682
